Name,Image path,Order Type,Register address (starting address),Number of registers,Decimal digits,Unit,Baud rate (standby),Data name,High and low byte,15
SO2,Drivers\485Image\Gases\485SO2.jpg,3,6,1,2,ppm,9600,SO2,1
CO,Drivers\485Image\Gases\485CO.jpg,3,6,1,1,ppm,9600,CO,1
NO,Drivers\485Image\Gases\485NO.jpg,3,6,1,1,ppm,9600,NO,1
H2£¨Electrochemistry£©,Drivers\485Image\Gases\485H2.jpg,3,6,1,0,ppm,9600,H2,1
H2£¨Combustible type£©,Drivers\485Image\Gases\485H2.jpg,3,6,1,1,%LEL,9600,H2,1
Freon,Drivers\485Image\Gases\485Freon.jpg,3,6,1,0,ppm,9600,Freon,1
F2,Drivers\485Image\Gases\485F2.jpg,3,6,1,1,ppm,9600,F2,1
C2H4O,Drivers\485Image\Gases\485EOS.jpg,3,6,1,0,ppm,9600,C2H4O,1
HCHO£¨Low range£©,Drivers\485Image\Gases\485FS.jpg,3,6,1,3,ppm,9600,HCHO,1
HCHO£¨High range£©,Drivers\485Image\Gases\485FS.jpg,3,6,1,2,ppm,9600,HCHO,1
CH4,Drivers\485Image\Gases\485MS.jpg,3,6,1,1,%LEL,9600,CH4,1
combustible gas,Drivers\485Image\Gases\485CGS.jpg,3,6,1,1,%LEL,9600,Gas,1
PH3,Drivers\485Image\Gases\485PH3.jpg,3,6,1,2,ppm,9600,PH3,1
H?S,Drivers\485Image\Gases\485SH2.jpg,3,6,1,1,ppm,9600,H?S,1
SF6,Drivers\485Image\Gases\485F6S.jpg,3,6,1,0,ppm,9600,SF6,1
CHL,Drivers\485Image\Gases\485CLH.jpg,3,6,1,1,ppm,9600,CHL,1
CL2,Drivers\485Image\Gases\485CL2.jpg,3,6,1,1,ppm,9600,CL2,1
C2H6O,Drivers\485Image\Gases\485HCO2.jpg,3,6,1,0,ppm,9600,C2H6O,1
HCN,Drivers\485Image\Gases\485HCS.jpg,3,6,1,1,ppm,9600,HCN,1
N2,Drivers\485Image\Gases\485N2.jpg,3,6,1,1,ppm,9600,N2,1
Carbon dioxide illumination four in one,Drivers\485Image\Non gas\485CDLFS.jpg,3:3:3:3,0:1:5:7:8,1:1:1:2,1:1:0:0,%RH:¡æ:ppm:Lux,9600,H:T:CO2:hv,1:1:1:2
Light temperature and humidity are three in one,Drivers\485Image\Non gas\485LTH.jpg,3:03:03,0:1:7:8,1:01:02,1:01:00,%RH:¡æ:Lux,9600,H:T:hv,1:01:02
Optical rainfall,Drivers\485Image\Non gas\485ECTH.jpg,3:3,1:3,1:1,1:1,mm:mm,9600,24-hour rainfall:Real time rainfall,1:1
